asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
B00BIPMIE2	Excession	Culture Series, Book 5		Iain M. Banks	Peter Kenny	Culture	5	Literature & Fiction, Genre Fiction, Literary Fiction, Science Fiction & Fantasy, Science Fiction	955	True	0.0	4.5	452	2020-09-08T20:08:49.746Z	2013-03-07	https://m.media-amazon.com/images/I/61WShQmaY2L._SL500_.jpg	2020-09-08T20:08:49.746Z
B00CZGIAEA	Inversions	Culture Series, Book 6		Iain M. Banks	Peter Kenny	Culture	6	Science Fiction & Fantasy, Science Fiction	686	False	7.73	4.4	210	2020-09-08T20:06:55.473Z	2013-06-06	https://m.media-amazon.com/images/I/51yVY0g+WKL._SL500_.jpg	2020-09-08T20:06:55.473Z
B00HS4OUP2	The State of the Art	Culture Series, Book 4		Iain M. Banks	Peter Kenny	Culture	4	Literature & Fiction, Anthologies & Short Stories, Short Stories, Literature & Fiction, Horror, Anthologies & Short Stories, Science Fiction & Fantasy, Science Fiction, Anthologies & Short Stories	380	False	0.0	3.9	165	2020-09-08T20:09:13.950Z	2014-01-23	https://m.media-amazon.com/images/I/5132F3lIFuL._SL500_.jpg	2020-09-08T20:09:13.950Z
B00HS5BC3O	Look to Windward	Culture Series, Book 7		Iain M. Banks	Peter Kenny	Culture	7	Science Fiction & Fantasy, Science Fiction	731	False	20.11	4.6	289	2020-09-08T20:11:03.026Z	2014-01-23	https://m.media-amazon.com/images/I/51EiNzF7BJL._SL500_.jpg	2020-09-08T20:11:03.026Z
B00I470OY8	Matter	Culture, Book 8		Iain M. Banks	Toby Longworth	Culture	8	Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Space Opera	1078	False	99.91	4.6	1311	2019-12-23T04:15:45.673Z	2014-02-11	https://m.media-amazon.com/images/I/51ZOcZ2T4JL._SL500_.jpg	2019-12-23T04:15:45.673Z
B00URXOQ1E	The Art of War			Sun Tzu	Aidan Gillen			Business & Careers, Management & Leadership, Leadership, Business & Careers, Career Success, Motivation & Self-Improvement, History, Asia, Central Asia, History, Military, Military Science, History, World, Literature & Fiction, Classics, Politics & Social Sciences, Law, Politics & Social Sciences, Philosophy, Eastern, Relationships, Parenting & Personal Development, Personal Development	67	False	0.0	4.6	42184	2024-05-12T02:18:06.000Z	2015-03-31	https://m.media-amazon.com/images/I/51EE3GAdmfL._SL500_.jpg	2024-05-12T02:18:06.000Z
B013V2QVLK	The Republic of Pirates	Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down		Colin Woodard	Lewis Grenville			Biographies & Memoirs, True Crime, History, Americas, Caribbean & West Indies, History, Modern, 18th Century	806	False	0.0	4.4	8284	2022-08-15T15:24:00.000Z	2015-08-14	https://m.media-amazon.com/images/I/412sygt+Y3L._SL500_.jpg	2022-08-15T15:24:00.000Z
B0147D0FLY	Primed to Perform	How to Build the Highest Performing Cultures Through the Science of Total Motivation		Neel Doshi, Lindsay McGregor	Charles Kahlenberg			Business & Careers, Management & Leadership, Management, Business & Careers, Workplace & Organizational Behavior, Organizational Behavior, Health & Wellness, Psychology & Mental Health, Psychology, Occupational & Organizational	538	False	46.1	4.5	179	2023-06-28T22:08:05.908Z	2015-10-07	https://m.media-amazon.com/images/I/51cuoMt4dEL._SL500_.jpg	2023-06-28T22:08:05.908Z
B01K5UCNFO	Designing Your Life	How to Build a Well-Lived, Joyful Life		Bill Burnett, Dave Evans	Bill Burnett, Dave Evans			Business & Careers, Career Success, Health & Wellness, Hygiene & Healthy Living, Relationships, Parenting & Personal Development, Personal Development, Personal Success	378	False	28.04	4.5	2706	2022-07-12T17:25:22.208Z	2016-09-20	https://m.media-amazon.com/images/I/31bol99ePHL._SL500_.jpg	2022-07-12T17:25:22.208Z
B01M5KTF4J	How I Raised Myself from Failure to Success in Selling			Frank Bettger	Arthur Morey			Business & Careers, Management & Leadership, Leadership, Business & Careers, Marketing & Sales, Sales & Selling, Business & Careers, Career Success, Business & Careers, Career Success	375	False	0.0	4.8	2110	2020-01-25T17:24:05.226Z	2016-12-06	https://m.media-amazon.com/images/I/51fOXdMFdIL._SL500_.jpg	2020-01-25T17:24:05.226Z
B06WWBWSHH	Black Edge	Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street		Sheelah Kolhatkar	Kaleo Griffith			Biographies & Memoirs, True Crime, Business & Careers, Money & Finance, Economics, Money & Finance, Investing & Trading, Politics & Social Sciences, Politics & Government	752	False	0.0	4.6	2244	2022-04-14T13:05:08.175Z	2017-03-28	https://m.media-amazon.com/images/I/51dLHwJgaoL._SL500_.jpg	2022-04-14T13:05:08.175Z
B076HSP1FT	20,000 Leagues Under the Sea			Jules Verne	David Linski	Captain Nemo	1	Literature & Fiction, Action & Adventure, Classics, Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Literary Fiction, Literature & Fiction, Historical Fiction, Literature & Fiction, World Literature, Science Fiction & Fantasy, Fantasy, Science Fiction & Fantasy, Science Fiction	673	False	89.6	4.5	8450	2022-08-23T01:47:30.000Z	2017-10-24	https://m.media-amazon.com/images/I/51NsPwILyfL._SL500_.jpg	2022-08-23T01:47:30.000Z
B07CL3F5H2	Fire & Blood (HBO Tie-in Edition)	300 Years Before A Game of Thrones		George R. R. Martin	Simon Vance	The Targaryen Dynasty: The House of the Dragon	2	Literature & Fiction, Action & Adventure, Science Fiction & Fantasy, Fantasy, Dragons & Mythical Creatures, Science Fiction & Fantasy, Fantasy, Epic	1584	False	62.88	4.5	20973	2021-01-02T20:30:11.082Z	2018-11-20	https://m.media-amazon.com/images/I/41X2Q07e8CL._SL500_.jpg	2021-01-02T20:30:11.082Z
B07RV4JLHJ	Super Pumped	The Battle for Uber		Mike Isaac	Holter Graham, Mike Isaac			Business & Careers, Workplace & Organizational Behavior, Workplace Culture, Computers & Technology, History & Culture, Technology & Society	772	False	0.0	4.6	1964	2020-10-06T19:27:05.340Z	2019-09-03	https://m.media-amazon.com/images/I/51k1TaV6bCL._SL500_.jpg	2020-10-06T19:27:05.340Z
B082BHJMFF	The Martian			Andy Weir	Wil Wheaton			Science Fiction & Fantasy, Science Fiction, Adventure, Science Fiction & Fantasy, Science Fiction, Hard Science Fiction	659	True	0.0	4.8	39079	2020-01-02T00:21:39.773Z	2020-01-01	https://m.media-amazon.com/images/I/414J3xG+7+L._SL500_.jpg	2020-01-02T00:21:39.773Z
B08GKXYD2B	Radical Hamilton	Economic Lessons from a Misunderstood Founder		Christian Parenti	Jason Culp			Politics & Social Sciences, Politics & Government, International Relations, Globalization, Politics & Social Sciences, Politics & Government, Political Science, History & Theory	602	False	6.48	4.8	17	2024-03-18T02:43:02.194Z	2020-10-06	https://m.media-amazon.com/images/I/51G1sd5fB-L._SL500_.jpg	2024-03-18T02:43:02.194Z
B0BVGH5VD4	What's Our Problem?	A Self-Help Book for Societies		Tim Urban	Tim Urban			Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Politics & Social Sciences, Politics & Government	838	False	0.24	4.6	509	2023-02-26T22:39:52.956Z	2023-02-21	https://m.media-amazon.com/images/I/41KX-1TEPhL._SL500_.jpg	2023-02-26T22:39:52.956Z
B0BVKWW5G8	The Fund	Ray Dalio, Bridgewater Associates, and the Unraveling of a Wall Street Legend		Rob Copeland	Rob Copeland, Will Damron			Biographies & Memoirs, Professionals & Academics, Business, Business & Careers	774	False	99.87	4.5	568	2023-11-14T11:37:14.927Z	2023-11-07	https://m.media-amazon.com/images/I/51n7m7ZhD9L._SL500_.jpg	2023-11-14T11:37:14.927Z
B0BX4SCV1V	Elon Musk			Walter Isaacson	Jeremy Bobb, Walter Isaacson			Biographies & Memoirs, Professionals & Academics, Business, Biographies & Memoirs, Professionals & Academics, Science & Technology, Computers & Technology, History & Culture, History	1239	False	98.95	4.8	8666	2023-09-12T07:07:10.127Z	2023-09-12	https://m.media-amazon.com/images/I/519diyDo0ML._SL500_.jpg	2023-09-12T07:07:10.127Z
B0CD8BYSTX	Going Infinite	The Rise and Fall of a New Tycoon		Michael Lewis	Michael Lewis			Biographies & Memoirs, Professionals & Academics, Business, Business & Careers	575	False	0.0	4.3	2243	2023-10-27T11:41:41.215Z	2023-10-03	https://m.media-amazon.com/images/I/51F3VMe8f3L._SL500_.jpg	2023-10-27T11:41:41.215Z
B0CDHKYBBB	Private Equity	A Memoir		Carrie Sun	Carrie Sun			Biographies & Memoirs, Professionals & Academics, Business, Biographies & Memoirs, Women	524	False	96.18	4.0	146	2024-02-19T14:04:14.570Z	2024-02-13	https://m.media-amazon.com/images/I/41Q3uXeB+QL._SL500_.jpg	2024-02-19T14:04:14.570Z
